t,power,slowness,back_azi
2020-01-01T01:30:46.005000Z,877989.114661,0.16,126.0
2020-01-01T01:30:46.015000Z,561101.623754,0.88,309.0
2020-01-01T01:30:46.025000Z,629000.072674,0.92,42.0
2020-01-01T01:30:46.035000Z,632693.523971,0.92,42.0
2020-01-01T01:30:46.045000Z,646799.002307,0.88,42.0
2020-01-01T01:30:46.055000Z,645123.538121,0.72,174.0
2020-01-01T01:30:46.065000Z,639991.966941,0.76,174.0
2020-01-01T01:30:46.075000Z,687871.821892,0.32,150.0
2020-01-01T01:30:46.085000Z,673365.788263,0.32,150.0
2020-01-01T01:30:46.095000Z,584632.759285,0.16,129.0
2020-01-01T01:30:46.105000Z,663423.887824,0.24,129.0
2020-01-01T01:30:46.115000Z,689750.565743,0.8,342.0
2020-01-01T01:30:46.125000Z,758778.885456,0.8,342.0
2020-01-01T01:30:46.135000Z,922427.596211,0.16,150.0
2020-01-01T01:30:46.145000Z,2333645.31173,0.16,150.0
2020-01-01T01:30:46.155000Z,8958285.59888,0.2,150.0
2020-01-01T01:30:46.165000Z,9902914.75592,0.2,150.0
2020-01-01T01:30:46.175000Z,10209967.0001,0.2,150.0
2020-01-01T01:30:46.185000Z,10912727.0115,0.2,150.0
2020-01-01T01:30:46.195000Z,11048781.8938,0.2,150.0
2020-01-01T01:30:46.205000Z,11564601.6103,0.2,150.0
2020-01-01T01:30:46.215000Z,11636412.01,0.2,150.0
2020-01-01T01:30:46.225000Z,11663759.4739,0.2,150.0
2020-01-01T01:30:46.235000Z,11825311.8974,0.2,150.0
2020-01-01T01:30:46.245000Z,12010771.4068,0.2,150.0
2020-01-01T01:30:46.255000Z,12355802.0628,0.2,147.0
2020-01-01T01:30:46.265000Z,12888947.5301,0.2,147.0
2020-01-01T01:30:46.275000Z,13084195.6116,0.2,147.0
2020-01-01T01:30:46.285000Z,13381970.8788,0.2,147.0
2020-01-01T01:30:46.295000Z,13395853.5126,0.2,147.0
2020-01-01T01:30:46.305000Z,13413220.9475,0.2,147.0
2020-01-01T01:30:46.315000Z,13284143.7792,0.2,147.0
2020-01-01T01:30:46.325000Z,12992622.4362,0.2,147.0
2020-01-01T01:30:46.335000Z,13092423.471,0.2,147.0
2020-01-01T01:30:46.345000Z,5886482.12026,0.2,147.0
2020-01-01T01:30:46.355000Z,2863398.87623,0.24,138.0
2020-01-01T01:30:46.365000Z,2756308.75045,0.24,138.0
2020-01-01T01:30:46.375000Z,2505077.18088,0.24,138.0
2020-01-01T01:30:46.385000Z,2240259.31011,0.24,141.0
2020-01-01T01:30:46.395000Z,1867073.30674,0.24,141.0
2020-01-01T01:30:46.405000Z,1867583.21839,0.24,141.0
2020-01-01T01:30:46.415000Z,1617425.49312,0.24,144.0
2020-01-01T01:30:46.425000Z,1649258.02578,0.24,144.0
2020-01-01T01:30:46.435000Z,1662272.51572,0.24,144.0
2020-01-01T01:30:46.445000Z,1652664.83389,0.24,141.0
2020-01-01T01:30:46.455000Z,940458.641527,0.24,144.0
2020-01-01T01:30:46.465000Z,829493.339355,0.36,42.0
2020-01-01T01:30:46.475000Z,750340.411482,0.48,246.0
